hour,time,WindDayAheadForecastMW,WindIntradayForecastMW,PVDayAheadForecastMW,PVIntradayForecastMW,DayAheadPriceHourlyEURMWh,IntradayPricePriceQuarterHourlyEURMWh,IntradayPriceHourlyEURMWh,ImbalancePriceQuarterHourlyEURMWh,Wind_DA_MWh,Wind_ID_MWh,PV_DA_MWh,PV_ID_MWh
0,1/1/21 0:00,4433.0,4709.0,0.0,0.0,50.87,44.41,48.68,13.33,1108.25,1177.25,0.0,0.0
0,1/1/21 0:15,4286.0,4507.0,0.0,0.0,50.87,52.14,48.68,-0.92,1071.5,1126.75,0.0,0.0
0,1/1/21 0:30,4142.0,4307.0,0.0,0.0,50.87,50.16,48.68,60.26,1035.5,1076.75,0.0,0.0
0,1/1/21 0:45,3991.0,4181.0,0.0,0.0,50.87,41.34,48.68,-12.05,997.75,1045.25,0.0,0.0
1,1/1/21 1:00,3847.0,4094.0,0.0,0.0,48.19,64.42,46.17,96.09,961.75,1023.5,0.0,0.0
1,1/1/21 1:15,3728.0,3939.0,0.0,0.0,48.19,52.23,46.17,94.62,932.0,984.75,0.0,0.0
1,1/1/21 1:30,3612.0,3705.0,0.0,0.0,48.19,45.8,46.17,92.21,903.0,926.25,0.0,0.0
1,1/1/21 1:45,3508.0,3626.0,0.0,0.0,48.19,45.71,46.17,27.64,877.0,906.5,0.0,0.0
2,1/1/21 2:00,3410.0,3585.0,0.0,0.0,44.68,65.53,53.73,13.71,852.5,896.25,0.0,0.0
2,1/1/21 2:15,3303.0,3483.0,0.0,0.0,44.68,60.9,53.73,11.99,825.75,870.75,0.0,0.0
2,1/1/21 2:30,3217.0,3361.0,0.0,0.0,44.68,55.71,53.73,4.31,804.25,840.25,0.0,0.0
2,1/1/21 2:45,3137.0,3255.0,0.0,0.0,44.68,53.14,53.73,-3.01,784.25,813.75,0.0,0.0
3,1/1/21 3:00,3056.0,3222.0,0.0,0.0,42.92,45.44,45.17,2.22,764.0,805.5,0.0,0.0
3,1/1/21 3:15,3005.0,3173.0,0.0,0.0,42.92,40.15,45.17,4.63,751.25,793.25,0.0,0.0
3,1/1/21 3:30,2954.0,3115.0,0.0,0.0,42.92,42.01,45.17,3.11,738.5,778.75,0.0,0.0
3,1/1/21 3:45,2906.0,3028.0,0.0,0.0,42.92,43.64,45.17,1.01,726.5,757.0,0.0,0.0
4,1/1/21 4:00,2858.0,2956.0,0.0,0.0,40.39,32.48,41.21,57.94,714.5,739.0,0.0,0.0
4,1/1/21 4:15,2799.0,2840.0,0.0,0.0,40.39,40.38,41.21,50.74,699.75,710.0,0.0,0.0
4,1/1/21 4:30,2741.0,2741.0,0.0,0.0,40.39,42.22,41.21,-16.54,685.25,685.25,0.0,0.0
4,1/1/21 4:45,2682.0,2649.0,0.0,0.0,40.39,45.27,41.21,-43.0,670.5,662.25,0.0,0.0
5,1/1/21 5:00,2623.0,2621.0,0.0,0.0,40.2,43.58,42.22,94.02,655.75,655.25,0.0,0.0
5,1/1/21 5:15,2575.0,2588.0,0.0,0.0,40.2,42.01,42.22,-4.98,643.75,647.0,0.0,0.0
5,1/1/21 5:30,2532.0,2638.0,0.0,0.0,40.2,44.11,42.22,23.62,633.0,659.5,0.0,0.0
5,1/1/21 5:45,2485.0,2645.0,0.0,0.0,40.2,36.98,42.22,109.17,621.25,661.25,0.0,0.0
6,1/1/21 6:00,2449.0,2533.0,0.0,0.0,39.63,34.25,42.31,44.42,612.25,633.25,0.0,0.0
6,1/1/21 6:15,2420.0,2553.0,0.0,0.0,39.63,37.06,42.31,53.89,605.0,638.25,0.0,0.0
6,1/1/21 6:30,2399.0,2477.0,0.0,0.0,39.63,43.36,42.31,109.17,599.75,619.25,0.0,0.0
6,1/1/21 6:45,2383.0,2420.0,0.0,0.0,39.63,50.29,42.31,83.65,595.75,605.0,0.0,0.0
7,1/1/21 7:00,2373.0,2377.0,0.0,0.0,40.09,30.33,43.15,62.65,593.25,594.25,0.0,0.0
7,1/1/21 7:15,2376.0,2401.0,0.0,0.0,40.09,41.85,43.15,17.78,594.0,600.25,0.0,0.0
