hour,time,WindDayAheadForecastMW,WindIntradayForecastMW,PVDayAheadForecastMW,PVIntradayForecastMW,DayAheadPriceHourlyEURMWh,IntradayPricePriceQuarterHourlyEURMWh,IntradayPriceHourlyEURMWh,ImbalancePriceQuarterHourlyEURMWh
0,1/1/21 0:00,"4 433,00","4 709,00","0,00","0,00","50,87","44,41","48,68","13,33"
0,1/1/21 0:15,"4 286,00","4 507,00","0,00","0,00","50,87","52,14","48,68","-0,92"
0,1/1/21 0:30,"4 142,00","4 307,00","0,00","0,00","50,87","50,16","48,68","60,26"
0,1/1/21 0:45,"3 991,00","4 181,00","0,00","0,00","50,87","41,34","48,68","-12,05"
1,1/1/21 1:00,"3 847,00","4 094,00","0,00","0,00","48,19","64,42","46,17","96,09"
1,1/1/21 1:15,"3 728,00","3 939,00","0,00","0,00","48,19","52,23","46,17","94,62"
1,1/1/21 1:30,"3 612,00","3 705,00","0,00","0,00","48,19","45,80","46,17","92,21"
1,1/1/21 1:45,"3 508,00","3 626,00","0,00","0,00","48,19","45,71","46,17","27,64"
2,1/1/21 2:00,"3 410,00","3 585,00","0,00","0,00","44,68","65,53","53,73","13,71"
2,1/1/21 2:15,"3 303,00","3 483,00","0,00","0,00","44,68","60,90","53,73","11,99"
2,1/1/21 2:30,"3 217,00","3 361,00","0,00","0,00","44,68","55,71","53,73","4,31"
2,1/1/21 2:45,"3 137,00","3 255,00","0,00","0,00","44,68","53,14","53,73","-3,01"
3,1/1/21 3:00,"3 056,00","3 222,00","0,00","0,00","42,92","45,44","45,17","2,22"
3,1/1/21 3:15,"3 005,00","3 173,00","0,00","0,00","42,92","40,15","45,17","4,63"
3,1/1/21 3:30,"2 954,00","3 115,00","0,00","0,00","42,92","42,01","45,17","3,11"
3,1/1/21 3:45,"2 906,00","3 028,00","0,00","0,00","42,92","43,64","45,17","1,01"
4,1/1/21 4:00,"2 858,00","2 956,00","0,00","0,00","40,39","32,48","41,21","57,94"
4,1/1/21 4:15,"2 799,00","2 840,00","0,00","0,00","40,39","40,38","41,21","50,74"
4,1/1/21 4:30,"2 741,00","2 741,00","0,00","0,00","40,39","42,22","41,21","-16,54"
4,1/1/21 4:45,"2 682,00","2 649,00","0,00","0,00","40,39","45,27","41,21","-43,00"
5,1/1/21 5:00,"2 623,00","2 621,00","0,00","0,00","40,20","43,58","42,22","94,02"
5,1/1/21 5:15,"2 575,00","2 588,00","0,00","0,00","40,20","42,01","42,22","-4,98"
5,1/1/21 5:30,"2 532,00","2 638,00","0,00","0,00","40,20","44,11","42,22","23,62"
5,1/1/21 5:45,"2 485,00","2 645,00","0,00","0,00","40,20","36,98","42,22","109,17"
6,1/1/21 6:00,"2 449,00","2 533,00","0,00","0,00","39,63","34,25","42,31","44,42"
6,1/1/21 6:15,"2 420,00","2 553,00","0,00","0,00","39,63","37,06","42,31","53,89"
6,1/1/21 6:30,"2 399,00","2 477,00","0,00","0,00","39,63","43,36","42,31","109,17"
6,1/1/21 6:45,"2 383,00","2 420,00","0,00","0,00","39,63","50,29","42,31","83,65"
7,1/1/21 7:00,"2 373,00","2 377,00","0,00","0,00","40,09","30,33","43,15","62,65"
7,1/1/21 7:15,"2 376,00","2 401,00","0,00","0,00","40,09","41,85","43,15","17,78"
7,1/1/21 7:30,"2 379,00","2 365,00","0,00","0,00","40,09","48,74","43,15","24,77"
7,1/1/21 7:45,"2 388,00","2 230,00","0,00","0,00","40,09","54,33","43,15","32,96"
8,1/1/21 8:00,"2 398,00","2 158,00","5,00","6,00","41,27","43,96","46,84","13,25"
8,1/1/21 8:15,"2 417,00","2 250,00","52,00","55,00","41,27","41,88","46,84","2,36"
8,1/1/21 8:30,"2 442,00","2 291,00","185,00","183,00","41,27","44,68","46,84","0,46"
8,1/1/21 8:45,"2 460,00","2 317,00","422,00","409,00","41,27","61,13","46,84","-11,59"
9,1/1/21 9:00,"2 477,00","2 340,00","741,00","709,00","44,88","44,95","49,57","-48,59"
9,1/1/21 9:15,"2 508,00","2 397,00","1 088,00","1 066,00","44,88","48,77","49,57","13,18"
9,1/1/21 9:30,"2 539,00","2 372,00","1 458,00","1 473,00","44,88","49,31","49,57","13,33"
9,1/1/21 9:45,"2 570,00","2 392,00","1 835,00","1 931,00","44,88","52,92","49,57","14,63"
10,1/1/21 10:00,"2 600,00","2 389,00","2 204,00","2 337,00","45,00","44,33","48,45","-3,35"
10,1/1/21 10:15,"2 575,00","2 390,00","2 550,00","2 691,00","45,00","49,04","48,45","2,64"
10,1/1/21 10:30,"2 551,00","2 357,00","2 873,00","3 104,00","45,00","40,93","48,45","31,01"
10,1/1/21 10:45,"2 528,00","2 397,00","3 174,00","3 394,00","45,00","49,66","48,45","14,32"
11,1/1/21 11:00,"2 502,00","2 396,00","3 447,00","3 805,00","47,20","44,77","48,13","32,53"
11,1/1/21 11:15,"2 506,00","2 301,00","3 678,00","4 173,00","47,20","51,08","48,13","36,44"
11,1/1/21 11:30,"2 535,00","2 297,00","3 854,00","4 345,00","47,20","47,53","48,13","36,18"
11,1/1/21 11:45,"2 562,00","2 320,00","3 981,00","4 548,00","47,20","44,61","48,13","24,72"
12,1/1/21 12:00,"2 602,00","2 389,00","4 071,00","4 648,00","50,78","58,73","52,02","73,20"
12,1/1/21 12:15,"2 647,00","2 314,00","4 117,00","4 911,00","50,78","57,54","52,02","72,80"
12,1/1/21 12:30,"2 726,00","2 310,00","4 100,00","4 809,00","50,78","58,16","52,02","77,98"
12,1/1/21 12:45,"2 847,00","2 380,00","4 022,00","4 856,00","50,78","54,92","52,02","70,30"
13,1/1/21 13:00,"2 968,00","2 281,00","3 905,00","4 929,00","45,49","56,71","48,94","5,33"
13,1/1/21 13:15,"3 066,00","2 333,00","3 750,00","4 642,00","45,49","51,07","48,94","62,78"
13,1/1/21 13:30,"3 147,00","2 223,00","3 547,00","4 319,00","45,49","49,25","48,94","59,62"
13,1/1/21 13:45,"3 224,00","2 314,00","3 301,00","3 916,00","45,49","42,67","48,94","56,98"
14,1/1/21 14:00,"3 297,00","2 234,00","3 018,00","3 551,00","44,73","49,31","49,08","57,50"
14,1/1/21 14:15,"3 351,00","2 201,00","2 692,00","3 114,00","44,73","45,71","49,08","66,12"
14,1/1/21 14:30,"3 408,00","2 310,00","2 328,00","2 644,00","44,73","53,76","49,08","72,57"
14,1/1/21 14:45,"3 463,00","2 396,00","1 935,00","2 200,00","44,73","57,47","49,08","69,71"
15,1/1/21 15:00,"3 512,00","2 549,00","1 525,00","1 669,00","46,59","47,56","50,79","54,92"
15,1/1/21 15:15,"3 624,00","2 449,00","1 124,00","1 153,00","46,59","50,16","50,79","67,35"
15,1/1/21 15:30,"3 733,00","2 392,00","736,00","741,00","46,59","54,87","50,79","74,88"
15,1/1/21 15:45,"3 836,00","2 426,00","397,00","385,00","46,59","59,17","50,79","75,22"
16,1/1/21 16:00,"3 946,00","2 612,00","161,00","154,00","52,99","52,95","55,85","98,21"
16,1/1/21 16:15,"4 092,00","2 800,00","39,00","35,00","52,99","62,23","55,85","74,36"
16,1/1/21 16:30,"4 236,00","3 033,00","3,00","3,00","52,99","63,90","55,85","129,55"
16,1/1/21 16:45,"4 372,00","3 260,00","0,00","0,00","52,99","67,16","55,85","32,09"
17,1/1/21 17:00,"4 499,00","3 418,00","0,00","0,00","60,26","59,41","63,00","19,18"
17,1/1/21 17:15,"4 608,00","3 586,00","0,00","0,00","60,26","61,40","63,00","31,80"
17,1/1/21 17:30,"4 694,00","3 785,00","0,00","0,00","60,26","62,35","63,00","29,34"
17,1/1/21 17:45,"4 781,00","3 865,00","0,00","0,00","60,26","61,51","63,00","27,46"
18,1/1/21 18:00,"4 859,00","3 998,00","0,00","0,00","60,61","62,43","62,15","76,07"
18,1/1/21 18:15,"4 928,00","4 065,00","0,00","0,00","60,61","61,33","62,15","69,57"
18,1/1/21 18:30,"4 971,00","4 190,00","0,00","0,00","60,61","63,31","62,15","-30,30"
18,1/1/21 18:45,"4 988,00","4 301,00","0,00","0,00","60,61","60,73","62,15","45,19"
19,1/1/21 19:00,"4 983,00","4 470,00","0,00","0,00","60,36","71,16","62,97","11,64"
19,1/1/21 19:15,"4 979,00","4 608,00","0,00","0,00","60,36","64,95","62,97","14,86"
19,1/1/21 19:30,"4 984,00","4 679,00","0,00","0,00","60,36","59,63","62,97","14,47"
19,1/1/21 19:45,"4 998,00","4 670,00","0,00","0,00","60,36","55,53","62,97","14,75"
20,1/1/21 20:00,"5 016,00","4 677,00","0,00","0,00","57,40","65,57","59,78","1,72"
20,1/1/21 20:15,"5 035,00","4 881,00","0,00","0,00","57,40","60,58","59,78","-2,05"
20,1/1/21 20:30,"5 058,00","5 061,00","0,00","0,00","57,40","52,96","59,78","78,71"
20,1/1/21 20:45,"5 087,00","5 083,00","0,00","0,00","57,40","49,66","59,78","52,01"
21,1/1/21 21:00,"5 117,00","4 936,00","0,00","0,00","53,86","61,23","54,10","93,80"
21,1/1/21 21:15,"5 166,00","4 877,00","0,00","0,00","53,86","56,88","54,10","71,75"
21,1/1/21 21:30,"5 216,00","4 989,00","0,00","0,00","53,86","51,19","54,10","62,81"
21,1/1/21 21:45,"5 241,00","5 041,00","0,00","0,00","53,86","45,91","54,10","1,55"
22,1/1/21 22:00,"5 217,00","5 167,00","0,00","0,00","53,45","85,54","58,46","10,05"
